symbol,company_name,exchange,sector,industry,currency,listing_date,created_at,updated_at
9407.SR,Albilad Capital - MSCI US Tech ETF,Tadawul,,,SAR,,2025-09-30 22:29:03.973969+03:00,2025-09-30 22:29:03.973969+03:00
9408.SR,Albilad MSCI Saudi Growth ETF,Tadawul,,,SAR,,2025-09-30 22:29:08.151038+03:00,2025-09-30 22:29:08.151038+03:00
4702.SR,Al Khabeer Diversified Income T,Tadawul,,,SAR,,2025-09-30 22:29:12.334074+03:00,2025-09-30 22:29:12.334074+03:00
4703.SR,Sedco Capital - Multi Asset Traded Fund,Tadawul,,,SAR,,2025-09-30 22:29:16.565623+03:00,2025-09-30 22:29:16.565623+03:00
9410.SR,Albilad CSOP MSCI Hong Kong China -  Class  Sarency Series,Tadawul,,,SAR,,2025-09-30 22:29:20.861382+03:00,2025-09-30 22:29:20.861382+03:00
9411.SR,Sab Invest Hang Seng Homg Etf,Tadawul,,,SAR,,2025-09-30 22:29:25.256528+03:00,2025-09-30 22:29:25.256528+03:00
9409.SR,YAQEEN S&P ESG MENA ETF Fund,Tadawul,,,SAR,,2025-09-30 22:29:29.659418+03:00,2025-09-30 22:29:29.659418+03:00
9615.SR,Mufeed Company,NOMU,Communication Services,Entertainment,SAR,,2025-09-30 22:29:34.202710+03:00,2025-09-30 22:29:34.202710+03:00
9642.SR,Time Entertainment Company,NOMU,Communication Services,Entertainment,SAR,,2025-09-30 22:29:38.422352+03:00,2025-09-30 22:29:38.422352+03:00
9618.SR,Al-Fakhera Men's Tailoring Company,NOMU,Consumer Cyclical,Apparel Retail,SAR,,2025-09-30 22:29:42.865943+03:00,2025-09-30 22:29:42.865943+03:00
9640.SR,ASAS Makeen Real Estate Development and Investment Company,NOMU,Real Estate,Real Estate Services,SAR,,2025-09-30 22:29:47.104503+03:00,2025-09-30 22:29:47.104503+03:00
9641.SR,Hawyia Auctions Co.,NOMU,Real Estate,Real Estate Services,SAR,,2025-09-30 22:29:51.297813+03:00,2025-09-30 22:29:51.297813+03:00
9648.SR,Hamad Mohammed Bin Saedan Real Estate Company,NOMU,Real Estate,Real Estate - Development,SAR,,2025-09-30 22:29:55.534257+03:00,2025-09-30 22:29:55.534257+03:00
9634.SR,Adeer Real Estate Co.,NOMU,Real Estate,Real Estate Services,SAR,,2025-09-30 22:29:59.895098+03:00,2025-09-30 22:29:59.895098+03:00
9610.SR,First Avenue for Real Estate De,NOMU,Real Estate,Real Estate - Development,SAR,,2025-09-30 22:30:04.484292+03:00,2025-09-30 22:30:04.484292+03:00
9521.SR,INMAR Company,NOMU,Real Estate,Real Estate - Development,SAR,,2025-09-30 22:30:08.745727+03:00,2025-09-30 22:30:08.745727+03:00
9535.SR,Ladun Investment Company,NOMU,Real Estate,Real Estate - Development,SAR,,2025-09-30 22:30:13.151600+03:00,2025-09-30 22:30:13.151600+03:00
9591.SR,View United Real Estate Development Co.,NOMU,Real Estate,Real Estate - Development,SAR,,2025-09-30 22:30:17.481179+03:00,2025-09-30 22:30:17.481179+03:00
9515.SR,Fesh Fash Snack Food Production Company,NOMU,Consumer Defensive,Packaged Foods,SAR,,2025-09-30 22:30:21.776416+03:00,2025-09-30 22:30:21.776416+03:00
9536.SR,Arabian Food and Dairy Factories Company,NOMU,Consumer Defensive,Packaged Foods,SAR,,2025-09-30 22:30:26.059619+03:00,2025-09-30 22:30:26.059619+03:00
9555.SR,Leen Alkhair Trading Company,NOMU,Consumer Defensive,Farm Products,SAR,,2025-09-30 22:30:30.397189+03:00,2025-09-30 22:30:30.397189+03:00
9556.SR,Nofoth Food Products Company,NOMU,Consumer Defensive,Grocery Stores,SAR,,2025-09-30 22:30:34.755823+03:00,2025-09-30 22:30:34.755823+03:00
9559.SR,Balady Poultry Company,NOMU,Consumer Defensive,Farm Products,SAR,,2025-09-30 22:30:39.040149+03:00,2025-09-30 22:30:39.040149+03:00
9564.SR,Horizon Food Company Limited,NOMU,Consumer Defensive,Packaged Foods,SAR,,2025-09-30 22:30:43.407525+03:00,2025-09-30 22:30:43.407525+03:00
9622.SR,Shmoh Almadi Co.,NOMU,Consumer Defensive,Packaged Foods,SAR,,2025-09-30 22:30:47.739375+03:00,2025-09-30 22:30:47.739375+03:00
9644.SR,Naf Company for Feed for Indust,NOMU,Basic Materials,Agricultural Inputs,SAR,,2025-09-30 22:30:52.050589+03:00,2025-09-30 22:30:52.050589+03:00
9532.SR,Aljouf Mineral Water Bottling Co.,NOMU,Consumer Defensive,Beverages - Non-Alcoholic,SAR,,2025-09-30 22:30:56.270249+03:00,2025-09-30 22:30:56.270249+03:00
9612.SR,Sama Healthy Water Factory Co.,NOMU,Consumer Defensive,Beverages - Non-Alcoholic,SAR,,2025-09-30 22:31:00.670634+03:00,2025-09-30 22:31:00.670634+03:00
9620.SR,Balsm Alofoq Medical Co.,NOMU,Healthcare,Medical Devices,SAR,,2025-09-30 22:31:04.952048+03:00,2025-09-30 22:31:04.952048+03:00
9627.SR,Twareat Medical Care Company,NOMU,Healthcare,Medical Care Facilities,SAR,,2025-09-30 22:31:09.189625+03:00,2025-09-30 22:31:09.189625+03:00
9626.SR,Basma Adeem Medical Co.,NOMU,Healthcare,Medical Care Facilities,SAR,,2025-09-30 22:31:13.630760+03:00,2025-09-30 22:31:13.630760+03:00
9600.SR,Qomel Company Limited,NOMU,Healthcare,Pharmaceutical Retailers,SAR,,2025-09-30 22:31:18.129368+03:00,2025-09-30 22:31:18.129368+03:00
9594.SR,Al-Modawat Specialized Medical ,NOMU,Healthcare,Medical Care Facilities,SAR,,2025-09-30 22:31:22.391504+03:00,2025-09-30 22:31:22.391504+03:00
9604.SR,Miral Dental Clinics Co.,NOMU,Healthcare,Medical Care Facilities,SAR,,2025-09-30 22:31:26.642875+03:00,2025-09-30 22:31:26.642875+03:00
9647.SR,Wajd life trading Company,NOMU,Healthcare,Medical Distribution,SAR,,2025-09-30 22:31:31.302813+03:00,2025-09-30 22:31:31.302813+03:00
9616.SR,Jana Medical Co.,NOMU,Healthcare,Medical Devices,SAR,,2025-09-30 22:31:35.834185+03:00,2025-09-30 22:31:35.834185+03:00
9546.SR,Naba Al Saha Medical Services Company,NOMU,Healthcare,Medical Care Facilities,SAR,,2025-09-30 22:31:40.430095+03:00,2025-09-30 22:31:40.430095+03:00
9527.SR,Alf Meem Yaa for Medical Supplies and Equipment Company,NOMU,Healthcare,Medical Distribution,SAR,,2025-09-30 22:31:44.866328+03:00,2025-09-30 22:31:44.866328+03:00
9530.SR,Arabian International Healthcare Holding Company,NOMU,Healthcare,Medical Care Facilities,SAR,,2025-09-30 22:31:49.293475+03:00,2025-09-30 22:31:49.293475+03:00
9572.SR,Al-Razi Medical Company,NOMU,Healthcare,Pharmaceutical Retailers,SAR,,2025-09-30 22:31:53.867074+03:00,2025-09-30 22:31:53.867074+03:00
9518.SR,Canadian General Medical Center Complex Company,NOMU,Healthcare,Medical Care Facilities,SAR,,2025-09-30 22:31:58.193787+03:00,2025-09-30 22:31:58.193787+03:00
9574.SR,Professional Medical Expertise Company,NOMU,Healthcare,Medical Devices,SAR,,2025-09-30 22:32:02.559634+03:00,2025-09-30 22:32:02.559634+03:00
9544.SR,Future Care Trading Co.,NOMU,Healthcare,Medical Care Facilities,SAR,,2025-09-30 22:32:06.945403+03:00,2025-09-30 22:32:06.945403+03:00
9587.SR,Lana Medical Co.,NOMU,,,SAR,,2025-09-30 22:32:11.156559+03:00,2025-09-30 22:32:11.156559+03:00
9516.SR,Natural Gas Distribution Company,NOMU,Utilities,Utilities - Regulated Gas,SAR,,2025-09-30 22:32:15.683547+03:00,2025-09-30 22:32:15.683547+03:00
9300.SR,Alwaha REIT Fund,NOMU,Real Estate,REIT - Diversified,SAR,,2025-09-30 22:32:19.931148+03:00,2025-09-30 22:32:19.931148+03:00
9549.SR,Abdulaziz and Mansour Ibrahim Albabtin Co.,NOMU,Consumer Defensive,Packaged Foods,SAR,,2025-09-30 22:32:24.236159+03:00,2025-09-30 22:32:24.236159+03:00
9592.SR,Almujtama Alraida Medical Co.,NOMU,Healthcare,Pharmaceutical Retailers,SAR,,2025-09-30 22:32:28.424241+03:00,2025-09-30 22:32:28.424241+03:00
9577.SR,DAR ALMARKABAH For Renting Cars Company,NOMU,Industrials,Rental & Leasing Services,SAR,,2025-09-30 22:32:32.740773+03:00,2025-09-30 22:32:32.740773+03:00
9584.SR,Riyal Investment and Developmen,NOMU,Industrials,Rental & Leasing Services,SAR,,2025-09-30 22:32:37.038148+03:00,2025-09-30 22:32:37.038148+03:00
9571.SR,Munawla Cargo Co. Ltd.,NOMU,Industrials,Integrated Freight & Logistics,SAR,,2025-09-30 22:32:41.369472+03:00,2025-09-30 22:32:41.369472+03:00
9586.SR,Osool and Bakheet Investment Co,NOMU,,,SAR,,2025-09-30 22:32:45.685441+03:00,2025-09-30 22:32:45.685441+03:00
9585.SR,Mulkia Investment Co.,NOMU,,,SAR,,2025-09-30 22:32:50.019288+03:00,2025-09-30 22:32:50.019288+03:00
